,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4176,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:56:12,2.0,1488.0,211.0,Não
4177,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:52:09,1.0,744.0,212.0,Não
4178,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:51:50,1.0,744.0,211.0,Não
4179,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:51:50,1.0,744.0,211.5,Não
4180,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 17:48:38,1.0,744.0,208.5,Não
4181,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 17:44:25,2.0,1488.0,213.5,Não
4182,SE CON MEN NOV/19 - Preço Fixo,Balcão,06/11/2019 17:32:04,1.0,720.0,296.0,Não
4183,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 17:26:36,2.0,1488.0,208.0,Não
4184,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 17:12:16,1.0,720.0,295.0,Não
4185,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 17:08:10,2.0,1488.0,215.5,Não
4186,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:04:05,1.0,744.0,215.5,Não
4187,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:01:53,1.0,744.0,211.0,Não
4188,SE CON MEN JAN/20 - Preço Fixo,Boleta,06/11/2019 16:46:52,4.0,2976.0,207.0,Não
4189,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:24:32,1.0,744.0,215.0,Não
4190,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:22:34,3.5,2604.0,214.0,Não
4191,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:19:33,2.0,1488.0,217.0,Não
4192,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:17:31,2.0,1488.0,215.0,Não
4193,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:12:21,2.0,1488.0,215.0,Não
4194,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 16:11:43,1.6,1190.4,215.0,Não
4195,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 16:06:18,1.0,744.0,215.0,Não
4196,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 16:05:10,1.0,744.0,215.5,Não
