,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
295,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,05/12/2019 17:58:47,1.0,2184.0,170.1,Não
296,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:56:44,1.0,2184.0,172.0,Não
297,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:52:44,1.0,2184.0,171.0,Não
298,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:49:59,0.5,1092.0,174.0,Não
299,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:34:58,3.0,6552.0,172.0,Não
300,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:00:18,1.5,3276.0,172.0,Não
301,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 16:53:41,1.0,2184.0,171.0,Não
302,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 16:29:02,1.0,2184.0,172.0,Não
303,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 16:07:04,2.0,4368.0,172.0,Não
304,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 15:53:44,14.0,30576.0,170.0,Não
305,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 15:30:06,1.0,2184.0,173.0,Não
306,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,05/12/2019 15:18:04,1.0,2184.0,173.0,Não
307,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 14:40:36,1.0,2184.0,171.0,Não
308,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 12:10:23,0.5,1092.0,171.0,Não
309,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 11:55:53,1.0,2184.0,173.5,Não
310,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,05/12/2019 11:46:06,1.0,2184.0,174.0,Não
311,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 11:27:33,2.0,4368.0,171.5,Não
312,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,05/12/2019 11:23:08,2.0,4368.0,171.5,Não
313,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 11:00:52,2.0,4368.0,172.0,Não
